"","logFC","logCPM","F","PValue"
"transcript:SPU_021177-tr",0.0444341355935781,4.1847793700175,0.183163886245344,0.669200022786332
"transcript:SPU_021171-tr",0.256176000572614,9.66616611918535,18.2611832621251,3.17272550341591e-05
"transcript:SPU_021170-tr",-0.168299254731203,2.15076261171487,0.735733926845541,0.39221649751135
"transcript:SPU_018574-tr",-0.0324397317982151,2.11470585349971,0.0286283199615196,0.865837560094826
"transcript:SPU_018577-tr",0.100140873770952,6.15411135874087,2.13591897536694,0.145696468699724
"transcript:SPU_018576-tr",0.0707716161208845,4.91811777225094,0.640997471556998,0.42444690171227
"transcript:SPU_018575-tr",0.14377994503721,4.81067947983172,2.57587257625292,0.11032643967935
"transcript:SPU_019927-tr",0.112418508639074,6.45964046109952,2.67155209260883,0.104189404595387
"transcript:SPU_019925-tr",0.554533283889566,0.905658224343936,3.3087562126392,0.0706390852531467
"transcript:SPU_007033-tr",-0.0689479701192024,0.787414363676393,0.0489512213033229,0.825159055060134
"transcript:SPU_025368-tr",0.143132429447712,4.36205282765966,2.18643525235595,0.141047933016859
"transcript:SPU_026892-tr",-0.139997760065964,4.51253425908205,2.01137828325596,0.157920540811122
"transcript:SPU_010158-tr",0.165565172375588,4.60422253549893,3.15515295957984,0.077443572612069
"transcript:SPU_000236-tr",-0.028008415793128,9.02549727613111,0.206523570024265,0.650115542478958
"transcript:SPU_023173-tr",0.178678065427724,1.79446036918129,0.711267808618143,0.400186713403932
"transcript:SPU_021715-tr",-0.493891198768982,0.570192137939874,1.80081266082798,0.181371207212334
"transcript:SPU_022013-tr",-0.10407297963638,7.80962254432262,2.98907563252212,0.0856102728193238
"transcript:SPU_006617-tr",-0.182434547880699,4.31518966197698,2.89697599223826,0.0916957951563176
"transcript:SPU_027620-tr",-1.75560795013915,3.45092882384687,51.9784962104675,5.07968470341568e-06
"transcript:SPU_023267-tr",0.789610678715779,0.85835455253656,5.84899404335578,0.016662193622115
"transcript:SPU_011801-tr",0.440841474689254,0.228029696477298,1.20171447749809,0.275143209792601
"transcript:SPU_011800-tr",-0.0974524907096975,1.93280272813853,0.213851964137039,0.644345415117957
"transcript:SPU_011799-tr",-0.15882998382526,0.961944245012296,0.256993775092186,0.612837970208573
"transcript:SPU_019282-tr",-0.0734072186748277,3.77900550930203,0.415559729484918,0.520014064596969
"transcript:SPU_019287-tr",-0.024134733507599,5.59965742928774,0.106663858488953,0.744369132258346
"transcript:SPU_019283-tr",0.427682330545881,0.754338522930853,1.73690535302802,0.189272221033445
"transcript:SPU_019286-tr",-0.193735148114258,6.55722632870313,8.13227283769008,0.00491638911409077
"transcript:SPU_019284-tr",0.301407717243635,0.216617846450683,0.596825792259065,0.440844842351831
"transcript:SPU_028772-tr",-0.0923825149834655,1.03702378568001,0.101399820963808,0.750539944894979
"transcript:SPU_028771-tr",0.0621600962800922,4.71832031006051,0.465593810714438,0.495932966241944
"transcript:SPU_028773-tr",-0.02387305872714,3.42244972288825,0.0343732861833717,0.8531320215819
"transcript:SPU_028770-tr",0.0548175783504509,4.81464861859398,0.364333352977666,0.546899245953202
"transcript:SPU_028774-tr",0.138326817587939,4.18649484148971,1.78443891536453,0.183358175411194
"transcript:SPU_028775-tr",-0.238904993851938,6.68703276746742,13.6503376862734,0.000295078552600131
"transcript:SPU_028776-tr",-0.0261075197013669,3.96254506808677,0.0577211272130653,0.81041891727673
"transcript:SPU_028777-tr",0.224962059285766,6.13551119740625,10.4113151675805,0.00149779262646873
"transcript:SPU_028769-tr",-0.0339012403950571,2.2127136144569,0.0307160841812967,0.861080065287628
"transcript:SPU_023153-tr",-0.0834090595572777,1.72493579990509,0.136280398483742,0.712458164048801
"transcript:SPU_023152-tr",-0.144536056444901,1.05338195778131,0.248830534391954,0.618532811697709
"transcript:SPU_028184-tr",-0.0764246354949071,8.34847030369834,1.57874536387148,0.21063386668701
"transcript:SPU_028183-tr",0.245546267538291,3.43994733726044,3.64933945931557,0.057744021472541
"transcript:SPU_028181-tr",0.325733749557132,4.00554849931287,8.90947515855875,0.00324753757761863
"transcript:SPU_000092-tr",-3.70410908080903,3.33011207672692,404.984235686639,3.35324259121155e-47
"transcript:SPU_018589-tr",-0.41573145551338,3.3055539677249,8.47673098143636,0.00421165268033013
"transcript:SPU_001313-tr",-0.117239847277224,5.84898080368206,2.62122379045387,0.107262945689206
"transcript:SPU_024676-tr",0.0446405012811506,5.35317809591283,0.328420716211065,0.567333935052637
"transcript:SPU_022133-tr",-0.305936437321461,2.74315823361597,3.72841199343629,0.0551275431261852
"transcript:SPU_024675-tr",-0.160443996773516,4.72272926495917,3.057843443705,0.0821202402134257
"transcript:SPU_024674-tr",0.148750315740958,3.50255998373639,1.29583483393391,0.256547896852752
"transcript:SPU_012709-tr",0.0471436531710497,6.16661262328993,0.497495038100015,0.481550551480057
"transcript:SPU_016769-tr",-0.10926478456417,4.14251789485737,1.04789334212935,0.307420678406284
"transcript:SPU_016768-tr",0.0931907537972755,3.61098635016928,0.575001077892968,0.44930922125495
