"geneid","binom"
"SPU_001705","1"
"SPU_001708","0"
"SPU_001712","0"
"SPU_001713","0"
"SPU_001714","0"
"SPU_001715","0"
"SPU_001716","0"
"SPU_001717","0"
"SPU_001718","0"
"SPU_001719","0"
"SPU_001720","0"
"SPU_001721","0"
"SPU_001722","0"
"SPU_001723","1"
"SPU_001724","0"
"SPU_001725","0"
"SPU_001726","0"
"SPU_001729","1"
"SPU_001730","0"
"SPU_001733","0"
"SPU_001739","0"
"SPU_001742","0"
"SPU_001744","0"
"SPU_001745","0"
"SPU_001746","0"
"SPU_001747","0"
"SPU_001749","0"
"SPU_001751","0"
"SPU_001752","0"
"SPU_001753","0"
"SPU_001754","0"
"SPU_001756","1"
"SPU_001758","0"
"SPU_001762","0"
"SPU_001766","0"
"SPU_001768","0"
"SPU_001769","0"
"SPU_001772","0"
"SPU_001773","0"
"SPU_001774","0"
"SPU_001776","0"
"SPU_001777","0"
"SPU_001778","0"
"SPU_001780","0"
"SPU_001782","1"
"SPU_001783","0"
"SPU_001785","0"
"SPU_001786","0"
"SPU_001788","0"
"SPU_001794","0"
"SPU_001795","0"
"SPU_001796","0"
"SPU_001797","0"
"SPU_001798","0"
"SPU_001799","0"
"SPU_001801","0"
"SPU_001804","0"
"SPU_001805","0"
"SPU_001806","0"
"SPU_001807","0"
"SPU_001808","0"
"SPU_001816","0"
"SPU_001817","0"
"SPU_001819","0"
"SPU_001822","0"
"SPU_001825","0"
"SPU_001826","0"
"SPU_001829","0"
"SPU_001830","0"
"SPU_001831","0"
"SPU_001832","0"
"SPU_001834","0"
"SPU_001836","0"
"SPU_001838","0"
"SPU_001846","0"
"SPU_001849","0"
"SPU_001853","0"
"SPU_001856","1"
"SPU_001859","0"
"SPU_001860","0"
"SPU_001866","0"
"SPU_001873","0"
"SPU_001874","0"
"SPU_001875","0"
"SPU_001876","0"
"SPU_001881","1"
"SPU_001882","0"
"SPU_001883","0"
"SPU_001885","0"
"SPU_001886","0"
"SPU_001888","0"
"SPU_001889","0"
"SPU_001890","0"
"SPU_001891","1"
"SPU_001892","0"
"SPU_001893","0"
"SPU_001896","0"
"SPU_001897","0"
"SPU_001900","0"
"SPU_001906","0"
"SPU_001909","0"
"SPU_001911","0"
"SPU_001912","1"
"SPU_001915","0"
"SPU_001924","0"
"SPU_001925","0"
"SPU_001927","0"
"SPU_001928","0"
"SPU_001929","0"
"SPU_001932","1"
"SPU_001933","0"
"SPU_001934","0"
"SPU_001935","0"
"SPU_001936","1"
"SPU_001937","0"
"SPU_001938","0"
"SPU_001942","0"
"SPU_001945","0"
"SPU_001949","0"
"SPU_001953","0"
"SPU_001954","0"
"SPU_001955","0"
"SPU_001956","0"
"SPU_001958","1"
"SPU_001959","0"
"SPU_001962","0"
"SPU_001963","0"
"SPU_001968","1"
"SPU_001969","0"
"SPU_001972","1"
"SPU_001974","0"
"SPU_001976","0"
"SPU_001978","0"
"SPU_001979","0"
"SPU_001980","0"
"SPU_001984","0"
"SPU_001985","0"
"SPU_001986","0"
"SPU_001987","0"
"SPU_001989","0"
"SPU_001990","0"
"SPU_001991","0"
"SPU_001997","0"
"SPU_001998","0"
"SPU_002002","0"
"SPU_002003","0"
"SPU_002004","0"
"SPU_002008","0"
"SPU_002009","0"
"SPU_002011","0"
"SPU_002012","0"
"SPU_002013","0"
"SPU_002015","0"
"SPU_002018","0"
"SPU_002022","0"
"SPU_002023","0"
"SPU_002024","0"
"SPU_002025","0"
"SPU_002027","0"
"SPU_002029","0"
"SPU_002030","0"
"SPU_002031","0"
"SPU_002037","0"
"SPU_002043","1"
"SPU_002044","1"
"SPU_002046","0"
"SPU_002049","0"
"SPU_002050","0"
"SPU_002051","0"
"SPU_002052","0"
"SPU_002053","0"
"SPU_002054","0"
"SPU_002055","0"
"SPU_002056","0"
"SPU_002057","0"
"SPU_002058","0"
"SPU_002059","0"
"SPU_002060","0"
"SPU_002061","0"
"SPU_002063","0"
"SPU_002065","0"
"SPU_002066","0"
"SPU_002069","0"
"SPU_002070","0"
"SPU_002071","0"
"SPU_002072","0"
"SPU_002073","0"
"SPU_002074","0"
"SPU_002075","0"
"SPU_002079","0"
"SPU_002080","0"
"SPU_002082","0"
"SPU_002083","0"
"SPU_002090","0"
"SPU_002091","1"
"SPU_002092","0"
"SPU_002096","0"
"SPU_002097","0"
"SPU_002101","0"
"SPU_002105","0"
"SPU_002106","0"
"SPU_002108","1"
"SPU_002110","0"
"SPU_002115","0"
"SPU_002116","0"
"SPU_002117","0"
"SPU_002118","0"
"SPU_002120","0"
"SPU_002121","0"
"SPU_002122","0"
"SPU_002123","0"
"SPU_002124","0"
"SPU_002125","0"
"SPU_002127","0"
"SPU_002128","0"
"SPU_002129","0"
"SPU_002130","0"
"SPU_002131","0"
"SPU_002132","0"
"SPU_002133","0"
"SPU_002137","0"
"SPU_002140","0"
"SPU_002142","1"
"SPU_002143","0"
"SPU_002146","0"
"SPU_002147","0"
"SPU_002148","0"
"SPU_002149","0"
"SPU_002150","0"
"SPU_002151","0"
"SPU_002153","0"
"SPU_002155","0"
"SPU_002156","1"
"SPU_002160","0"
"SPU_002161","0"
"SPU_002162","0"
"SPU_002164","0"
"SPU_002165","0"
"SPU_002173","1"
"SPU_002174","0"
"SPU_002176","0"
"SPU_002177","0"
"SPU_002178","0"
"SPU_002179","0"
"SPU_002180","0"
"SPU_002182","0"
"SPU_002184","0"
"SPU_002185","1"
"SPU_002188","0"
"SPU_002189","0"
"SPU_002191","0"
"SPU_002193","0"
"SPU_002194","0"
"SPU_002197","1"
"SPU_002205","1"
"SPU_002206","0"
"SPU_002209","0"
"SPU_002210","0"
"SPU_002211","1"
"SPU_002213","0"
"SPU_002214","0"
"SPU_002215","0"
"SPU_002216","0"
"SPU_002217","0"
"SPU_002218","0"
"SPU_002219","0"
"SPU_002220","0"
"SPU_002222","0"
"SPU_002223","0"
"SPU_002225","0"
"SPU_002226","0"
"SPU_002228.a","0"
"SPU_002228.b","0"
"SPU_002229","0"
"SPU_002234","0"
"SPU_002236","0"
"SPU_002237","0"
"SPU_002238","0"
"SPU_002241","0"
"SPU_002242","0"
"SPU_002246","0"
"SPU_002249","0"
"SPU_002250","0"
"SPU_002252","0"
"SPU_002254","0"
